Ingredient,Serving Size,Calories,Fat (g),Protein (g),Net Carbs (g),Bulletproof Zone,Category,Shelf Life,Storage,Price per unit,Weekly Cost,Meal Usage,Notes
Avocado,1/2 medium (100 g),160,15.0,2.0,2.0,Green,Healthy Fats / Veg,3–5 days,Room/Fridge,₹50 each,₹250 (5 pcs),"Breakfast, Salad",Best semi-ripe
Zucchini (Green),1 cup (120 g),20,0.0,2.0,3.0,Green,Vegetables,3–5 days,Fridge,₹60/kg,₹30 (0.5 kg),"Lunch, Dinner",
Zucchini (Yellow),1 cup (120 g),20,0.0,2.0,3.0,Green,Vegetables,3–5 days,Fridge,₹80/kg,₹40 (0.5 kg),"Lunch, Dinner",
Spinach,1 cup raw (30 g),7,0.0,1.0,1.0,Green,Vegetables,2–3 days,Fridge,₹40/bunch,₹120 (3 bunches),"Soups, Salads",Organic best
Organic Coconut Milk,1/4 cup (60 ml),138,14.0,1.0,2.0,Green,Pantry,6+ months (canned),Pantry,₹150/can,₹450 (3 cans),"Curries, Smoothies",Full fat
Bottle Gourd,1 cup (100 g),14,0.0,0.5,3.0,Green,Vegetables,3–4 days,Fridge,₹40/kg,₹40,"Curry, Soup",
Ginger,1 inch (10 g),8,0.0,0.0,2.0,Green,Spices,2–3 weeks,Fridge,₹200/kg,₹20 (100 g),Flavoring,Anti-inflammatory
Egg,1 large,70,5.0,6.0,0.5,Green,Protein,1–2 weeks,Fridge,₹7 each,₹84 (1 dozen),"Breakfast, Snacks",Pasture-raised preferred
Chicken Breast,100 g cooked,165,3.5,31.0,0.0,Green,Protein,2–3 days fresh,Fridge/Freeze,₹450/kg,₹405 (900 g),"Lunch, Dinner",Lean protein
Rice Noodles,1 cup cooked (176 g),190,0.5,3.0,42.0,Yellow,Starches,6+ months dry,Pantry,₹200/kg,₹60 (300 g),Occasional carb,Limit use
Oregano,1 tsp (1 g),3,0.0,0.0,1.0,Green,Spices,6+ months,Pantry,₹100/50 g,₹20,Seasoning,
Sea Salt,1 tsp (6 g),0,0.0,0.0,0.0,Green,Condiments,12+ months,Pantry,₹50/250 g,₹50,Cooking,Mineral-rich
Ghee,1 Tbsp (14 g),120,14.0,0.0,0.0,Green,Fats & Oils,6+ months,Pantry,₹500/kg,₹125 (250 g),"Coffee, Cooking",Grass-fed best
Turmeric,1 tsp (3 g),10,0.0,0.0,2.0,Green,Spices,6+ months,Pantry,₹200/100 g,₹20,Spice,Anti-inflammatory
Fennel,1 tsp (2 g),7,0.0,0.0,2.0,Green,Spices,6+ months,Pantry,₹150/100 g,₹10,Spice/tea,
Cinnamon,1 tsp (2.6 g),6,0.0,0.0,2.0,Green,Spices,6+ months,Pantry,₹200/100 g,₹10,Spice,
Mutton Mince,100 g cooked,250,20.0,20.0,0.0,Green,Protein,2–3 days fresh,Fridge/Freeze,₹600/kg,₹300 (500 g),"Lunch, Dinner",Grass-fed
Cauliflower,1 cup (100 g),25,0.0,2.0,5.0,Green,Vegetables,3–5 days,Fridge,₹60/kg,₹60,"Mash, Rice substitute",
Asparagus,1 cup (134 g),27,0.0,3.0,2.0,Green,Vegetables,2–3 days,Fridge,₹200/250 g,₹200,Side dish,
Sweet Potato,100 g boiled,86,0.0,2.0,20.0,Yellow,Starches,1 week,Pantry,₹100/kg,₹70 (700 g),Post-workout carb,Use sparingly
Beans (Green),1 cup (100 g),31,0.0,2.0,4.0,Green,Vegetables,3–4 days,Fridge,₹80/kg,₹80,Side veg,
Madras Cucumber,1 cup (100 g),16,0.0,1.0,3.0,Green,Vegetables,4–5 days,Fridge,₹40/kg,₹40,Salad,
Lime,1 medium (67 g),20,0.0,0.0,7.0,Green,Vegetables (citrus),1 week,Room/Fridge,₹5 each,₹20 (4 pcs),"Flavor, dressing",
Coconut Oil,1 Tbsp (14 g),120,14.0,0.0,0.0,Green,Fats & Oils,12+ months,Pantry,₹400/500 ml,₹200,Cooking,
Coconut Flakes,28 g (1 oz),185,18.0,2.0,7.0,Green,Fats & Oils,6+ months,Pantry,₹150/200 g,₹112,"Snack, topping",
Cocoa Butter,1 Tbsp (13.6 g),120,14.0,0.0,0.0,Green,Fats & Oils,12+ months,Pantry,₹500/200 g,₹65,Baking,
Jeera (Cumin),1 tsp (2 g),8,0.0,0.0,1.0,Green,Spices,12+ months,Pantry,₹100/100 g,₹5,Spice,
Cloves,1 tsp (2 g),6,0.0,0.0,1.0,Green,Spices,12+ months,Pantry,₹200/100 g,₹10,Spice,
Avocado Oil,1 Tbsp (14 g),120,14.0,0.0,0.0,Green,Fats & Oils,12+ months,Pantry,₹700/250 ml,₹280,"Cooking, Dressing",
Rice Flour,28 g (1/4 cup),103,0.0,2.0,23.0,Yellow,Starches,6+ months,Pantry,₹150/kg,₹75 (500 g),Occasional,
Pink Salt,1 tsp (6 g),0,0.0,0.0,0.0,Green,Condiments,12+ months,Pantry,₹150/250 g,₹150,Cooking,
Vinegar,1 Tbsp (15 ml),3,0.0,0.0,0.0,Green,Condiments,12+ months,Pantry,₹100/500 ml,₹100,Dressing,Apple cider preferred
Basmati Rice,1 cup cooked (158 g),200,0.0,4.0,45.0,Yellow,Starches,6+ months dry,Pantry,₹150/kg,₹75 (500 g),Carb meals,Limit use
Coffee,1 cup (240 ml),2,0.0,0.0,0.0,Green,Beverage,6+ months,Pantry,₹600/250 g,₹600,Bulletproof Coffee,Mold-tested beans
Fish (fatty),100 g cooked,208,13.0,20.0,0.0,Green,Protein,2–3 days fresh,Fridge/Freeze,₹600/kg,₹300 (500 g),"Lunch, Dinner",Wild-caught preferred
MCT Oil,1 Tbsp (15 ml),120,14.0,0.0,0.0,Green,Fats & Oils,12+ months,Pantry,₹1000/250 ml,₹250,"Coffee, Smoothies",Start small
Pumpkin,1 cup cooked (245 g),50,0.0,2.0,12.0,Yellow,Vegetables,1 week,Pantry/Fridge,₹50/kg,₹50,"Soup, Curry",Limit use
Radish,1 cup (116 g),19,0.0,1.0,4.0,Green,Vegetables,1 week,Fridge,₹40/kg,₹40,Salad,
Rice Rava,28 g (1/4 cup),100,0.0,2.0,22.0,Yellow,Starches,6+ months,Pantry,₹100/kg,₹50 (500 g),Occasional,
Electrolytes,1 serving,10,0.0,0.0,2.0,Green,Supplement,6+ months,Pantry,₹500/pack,₹500,Hydration,
Raspberries,1/2 cup (60 g),32,0.0,1.0,3.0,Green,Fruit,2–3 days fresh,Fridge,₹300/200 g,₹300,"Snack, Dessert",
Cranberries,1/4 cup dried (28 g),92,0.0,0.0,24.0,Red,Fruit,6+ months,Pantry,₹150/100 g,₹150,Dessert,Avoid added sugar
Blackberries,1/2 cup (70 g),31,0.0,1.0,3.0,Green,Fruit,2–3 days fresh,Fridge,₹300/200 g,₹300,"Snack, Dessert",
Pineapple,1 cup (165 g),82,0.0,1.0,16.0,Yellow,Fruit,2–3 days cut,Fridge,₹60/kg,₹60,Snack,Limit (high sugar)
Cilantro,1 cup (16 g),4,0.0,0.0,1.0,Green,Herb,3–4 days,Fridge,₹20/bunch,₹20,Garnish,
Celery,1 cup (100 g),14,0.0,1.0,1.0,Green,Vegetables,1 week,Fridge,₹80/bunch,₹80,"Salad, Snack",
Olives,10 small (30 g),40,4.0,0.0,1.0,Green,Condiment/Fat,2–3 weeks,Fridge,₹150/jar,₹150,"Snack, Salad",
Brussels Sprouts,1 cup (88 g),38,0.0,3.0,4.0,Green,Vegetables,3–4 days,Fridge,₹200/250 g,₹200,Side dish,
Stevia,1 packet (1 g),0,0.0,0.0,0.0,Green,Sweetener,12+ months,Pantry,₹200/100 g,₹20,Sweetener,
Pistachios,28 g (1 oz),160,13.0,6.0,8.0,Yellow,Nuts,1 month,Pantry/Fridge,₹180/100 g,₹270 (150 g),Snack,Moderate toxin risk
Macadamia Nuts,28 g (20 nuts),200,21.0,2.0,2.0,Green,Nuts,2+ months,Pantry/Fridge,₹200/100 g,₹300 (150 g),"Snack, Dessert",Best Bulletproof nut
Broccoli,1 cup chopped (90 g),31,0.0,3.0,4.0,Green,Vegetables (cruciferous),3–5 days,Fridge,₹150/kg,₹75 (500 g),"Lunch, Dinner",Great detox veg
Mutton Curry Cut,100 g cooked,294,21.0,25.0,0.0,Green,Protein,2–3 days fresh,Fridge/Freeze,₹700/kg,₹350 (500 g),"Lunch, Dinner",Grass-fed best
Blueberries,1/2 cup (74 g),42,0.0,1.0,7.0,Green,Fruit,2–3 days fresh,Fridge,₹400/200 g,₹400,"Snack, Dessert",Low-glycemic berry
Meatigo Marinated Chicken (Clean),100 g cooked,200,10.0,23.0,2.0,Green,Protein,"2–3 days fresh, longer frozen",Fridge/Freeze,₹500/500 g,₹500,"Lunch, Dinner",Clean herbs & Bulletproof-approved oils only
